id,abbreviation,local_abbreviation,title,local_title,language__iso_639_1,language__name,language__local_name,taxonomy,benchmark
2632,abn,ẠḌI,Abuan Bible,Ạḍinya Iigbia,,Abua,Abua,,
3247,ACHICUB,ACHICUB,Achi de Cubulco 2019,Wuj Pa K'ubultzij,,Achi,Achi',0,
559,Aco85,Aco85,Acholi Bible,Acoli Baibul,,Acholi (Acoli),Lwo,0,1
2,ABA,ABA,Bible for All,Bybel vir almal,af,Afrikaans,Afrikaans,3,
5,AFR53,AFR53,Afrikaans 1933/1953,Afrikaans 1933/1953,af,Afrikaans,Afrikaans,3,1
6,AFR83,AFR83,Afrikaans 1983,Afrikaans 1983,af,Afrikaans,Afrikaans,3,
50,DB,DB,Die Boodskap,Die Boodskap,af,Afrikaans,Afrikaans,3,
117,NLV,NLV,Nuwe Lewende Vertaling,Nuwe Lewende Vertaling,af,Afrikaans,Afrikaans,3,
3499,AFR20,AFR20,Die Bybel 2020-vertaling,Die Bybel 2020-vertaling,af,Afrikaans,Afrikaans,3,
4401,SPC,SPC,PWL in Standard Protestant Canon,PWL in Standaard Protestantse Canon,af,Afrikaans,Afrikaans,3,1
1722,AHK,AHK,Akha,Akha,,Akha,Akha,0,
7,ALBB,ALBB,Albanian Bible 1994,Bibla Shqip 1994,sq,Albanian (Standard),Shqip,1,1
2916,AB1970,AB1970,"The Holy Bible In Alur (Lur), Revised Orthography","The Holy Bible In Alur (Lur), Revised Orthography",,Alur,Lur,,
1260,NASV,NASV,New Amharic Standard Version 2024,አዲሱ መደበኛ ትርጒም,am,Amharic,አማርኛ,2,1
3092,ABO,ABO,ANEITYUM BIBLE,NISVITAI ITAP ANTAS ANEJOM,,Aneityum (Vanuatu),Anejom̃,,
2911,YLI,YLI,"The Holy Bible in the Yali Angguruk language Papua, Indonesia",ALLAH WENE,,Angguruk Yali,Angguruk Yali,,
13,AVD,AVD,New Van Dyck Bible (Full Vocalization with Helps),الكتاب المقدس,ar,Arabic (Standard),العربية,5,1
14,AVDDV,AVDDV,New Van Dyck Bible (Reduced Vocalization with Helps),الكتاب المقدس  (تخفيف تشكيل),ar,Arabic (Standard),العربية,5,1
153,SAB,SAB,Sharif Arabic Bible,الكتاب الشريف,ar,Arabic (Standard),العربية,5,
195,SAT,ت ع م,Holy Bible: Easy-to-Read Translation,الكِتاب المُقَدَّس: التَّرْجَمَةُ العَرَبِيَّةُ المُبَسَّطَةُ,ar,Arabic (Standard),العربية,5,1
2329,NRAB,ՆՎԱԱ,New Revised Ararat Bible,Նոր վերանայված Արարատ Աստվածաշունչ,hy,Armenian (Eastern),հայերեն (արևելահայերեն),1,1
1987,WARMB,WARMB,Western Armenian Bible 1853,Western Armenian Bible 1853,,Armenian (Western),հայերէն (Արեւմտահայերէն),1,
1979,IRVAsm,IRVAsm,Indian Revised Version (IRV) Assamese - 2019,ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019,as,Assamese,অসমীয়া,1,1
1362,rop,rop,Kriol Bible,Kriol Baibul,,Australian Creole,Kriol,,
3146,BGNNP15,ÑÑP2015,Biblia en Guaraní - Ñanderuete Ñe’ẽ Porã 2015,Ñanderuete Ñe’ẽ Porã 2015,,Avañe'e,Guaraní paraguayo,,
2560,AERV,AERV,Holy Bible: Easy-to-Read Version,पवित्तर बाइबिल,,Awadhi,Awadhi,0,
556,RCHQ2,RCHQ2,Biblia Revisión Chuya Qellqa 1992,Chuya Qellqa 1992,,Ayacucho Quechua,Ayacucho Quechua,1,
2389,RCQ12,RCQ12,La Biblia en Quechua de Ayacucho - Edición Revisada 2012,CHUYA QELLQA La Biblia en Quechua de Ayacucho 2012,,Ayacucho Quechua,Ayacucho Quechua,1,
2390,QUEAYA87,QUEAYA87,Quechua Ayacucho Bible 1987,Quechua Ayacucho Bible 1987,,Ayacucho Quechua,Ayacucho Quechua,1,
