doc_id,title,start,end
1,The History of Creation,GEN.1.1,GEN.2.7
2,Life in God’s Garden,GEN.2.8,GEN.2.25
3,The Temptation and Fall of Man,GEN.3.1,GEN.3.24
4,Cain Murders Abel,GEN.4.1,GEN.4.15
5,The Family of Cain,GEN.4.16,GEN.4.24
6,A New Son,GEN.4.25,GEN.4.26
7,The Family of Adam,GEN.5.1,GEN.5.32
8,The Wickedness and Judgment of Man,GEN.6.1,GEN.6.8
9,Noah Pleases God,GEN.6.9,GEN.6.12
10,The Ark Prepared,GEN.6.13,GEN.6.22
11,The Great Flood,GEN.7.1,GEN.7.24
12,Noah’s Deliverance,GEN.8.1,GEN.8.19
13,God’s Covenant with Creation,GEN.8.20,GEN.9.17
14,Noah and His Sons,GEN.9.18,GEN.9.29
15,Nations Descended from Noah,GEN.10.1,GEN.10.32
16,The Tower of Babel,GEN.11.1,GEN.11.9
17,Shem’s Descendants,GEN.11.10,GEN.11.26
18,Terah’s Descendants,GEN.11.27,GEN.11.32
19,Promises to Abram,GEN.12.1,GEN.12.9
20,Abram in Egypt,GEN.12.10,GEN.12.20
21,Abram Inherits Canaan,GEN.13.1,GEN.13.18
22,Lot’s Captivity and Rescue,GEN.14.1,GEN.14.17
23,Abram and Melchizedek,GEN.14.18,GEN.14.24
24,God’s Covenant with Abram,GEN.15.1,GEN.15.21
25,Hagar and Ishmael,GEN.16.1,GEN.16.16
26,The Sign of the Covenant,GEN.17.1,GEN.17.27
27,The Son of Promise,GEN.18.1,GEN.18.15
28,Abraham Intercedes for Sodom,GEN.18.16,GEN.18.33
29,Sodom’s Depravity,GEN.19.1,GEN.19.11
30,Sodom and Gomorrah Destroyed,GEN.19.12,GEN.19.29
31,The Descendants of Lot,GEN.19.30,GEN.19.38
32,Abraham and Abimelech,GEN.20.1,GEN.20.18
33,Isaac is Born,GEN.21.1,GEN.21.7
34,Hagar and Ishmael Depart,GEN.21.8,GEN.21.21
35,A Covenant with Abimelech,GEN.21.22,GEN.21.34
36,Abraham’s Faith Confirmed,GEN.22.1,GEN.22.19
37,The Family of Nahor,GEN.22.20,GEN.22.24
38,Sarah’s Death and Burial,GEN.23.1,GEN.23.20
39,A Bride for Isaac,GEN.24.1,GEN.24.67
40,Abraham and Keturah,GEN.25.1,GEN.25.6
41,Abraham’s Death and Burial,GEN.25.7,GEN.25.11
42,The Families of Ishmael and Isaac,GEN.25.12,GEN.25.28
43,Esau Sells His Birthright,GEN.25.29,GEN.25.34
44,Isaac and Abimelech,GEN.26.1,GEN.26.35
45,Isaac Blesses Jacob,GEN.27.1,GEN.27.29
46,Esau’s Lost Hope,GEN.27.30,GEN.27.40
47,Jacob Escapes from Esau,GEN.27.41,GEN.28.5
48,Esau Marries Mahalath,GEN.28.6,GEN.28.9
49,Jacob’s Vow at Bethel,GEN.28.10,GEN.28.22
50,Jacob Meets Rachel,GEN.29.1,GEN.29.14
51,Jacob Marries Leah and Rachel,GEN.29.15,GEN.29.30
52,The Children of Jacob,GEN.29.31,GEN.30.24
53,Jacob’s Agreement with Laban,GEN.30.25,GEN.30.43
54,Jacob Flees from Laban,GEN.31.1,GEN.31.21
55,Laban Pursues Jacob,GEN.31.22,GEN.31.42
56,Laban’s Covenant with Jacob,GEN.31.43,GEN.31.55
57,Esau Comes to Meet Jacob,GEN.32.1,GEN.32.21
58,Wrestling with God,GEN.32.22,GEN.32.32
59,Jacob and Esau Meet,GEN.33.1,GEN.33.17
60,Jacob Comes to Canaan,GEN.33.18,GEN.33.20
61,The Dinah Incident,GEN.34.1,GEN.34.31
62,Jacob’s Return to Bethel,GEN.35.1,GEN.35.15
63,Death of Rachel,GEN.35.16,GEN.35.22
64,Jacob’s Twelve Sons,GEN.35.22,GEN.35.26
65,Death of Isaac,GEN.35.27,GEN.35.29
66,The Family of Esau,GEN.36.1,GEN.36.14
67,The Chiefs of Edom,GEN.36.15,GEN.36.19
68,The Sons of Seir,GEN.36.20,GEN.36.30
69,The Kings of Edom,GEN.36.31,GEN.36.39
70,The Chiefs of Esau,GEN.36.40,GEN.36.43
71,Joseph Dreams of Greatness,GEN.37.1,GEN.37.11
72,Joseph Sold by His Brothers,GEN.37.12,GEN.37.36
73,Judah and Tamar,GEN.38.1,GEN.38.30
74,Joseph a Slave in Egypt,GEN.39.1,GEN.39.23
75,The Prisoners’ Dreams,GEN.40.1,GEN.40.23
76,Pharaoh’s Dreams,GEN.41.1,GEN.41.36
77,Joseph’s Rise to Power,GEN.41.37,GEN.41.57
78,Joseph’s Brothers Go to Egypt,GEN.42.1,GEN.42.24
79,The Brothers Return to Canaan,GEN.42.25,GEN.42.38
80,Joseph’s Brothers Return with Benjamin,GEN.43.1,GEN.43.34
81,Joseph’s Cup,GEN.44.1,GEN.44.17
82,Judah Intercedes for Benjamin,GEN.44.18,GEN.44.34
83,Joseph Revealed to His Brothers,GEN.45.1,GEN.45.28
84,Jacob’s Journey to Egypt,GEN.46.1,GEN.46.27
85,Jacob Settles in Goshen,GEN.46.28,GEN.47.12
86,Joseph Deals with the Famine,GEN.47.13,GEN.47.26
87,Joseph’s Vow to Jacob,GEN.47.27,GEN.47.31
88,Jacob Blesses Joseph’s Sons,GEN.48.1,GEN.48.22
89,Jacob’s Last Words to His Sons,GEN.49.1,GEN.49.28
90,Jacob’s Death and Burial,GEN.49.29,GEN.50.14
91,Joseph Reassures His Brothers,GEN.50.15,GEN.50.21
92,Death of Joseph,GEN.50.22,GEN.50.26
93,Israel’s Suffering in Egypt,EXO.1.1,EXO.1.22
94,Moses is Born,EXO.2.1,EXO.2.10
95,Moses Flees to Midian,EXO.2.11,EXO.2.25
96,Moses at the Burning Bush,EXO.3.1,EXO.3.22
97,Miraculous Signs for Pharaoh,EXO.4.1,EXO.4.17
98,Moses Goes to Egypt,EXO.4.18,EXO.4.31
99,First Encounter with Pharaoh,EXO.5.1,EXO.5.21
100,Israel’s Deliverance Assured,EXO.5.22,EXO.6.13
101,The Family of Moses and Aaron,EXO.6.14,EXO.6.27
102,Aaron is Moses’ Spokesman,EXO.6.28,EXO.7.7
103,Aaron’s Miraculous Rod,EXO.7.8,EXO.7.13
104,The First Plague: Waters Become Blood,EXO.7.14,EXO.7.25
105,The Second Plague: Frogs,EXO.8.1,EXO.8.15
106,The Third Plague: Lice,EXO.8.16,EXO.8.19
107,The Fourth Plague: Flies,EXO.8.20,EXO.8.32
108,The Fifth Plague: Livestock Diseased,EXO.9.1,EXO.9.7
109,The Sixth Plague: Boils,EXO.9.8,EXO.9.12
110,The Seventh Plague: Hail,EXO.9.13,EXO.9.35
111,The Eighth Plague: Locusts,EXO.10.1,EXO.10.20
112,The Ninth Plague: Darkness,EXO.10.21,EXO.10.29
113,Death of the Firstborn Announced,EXO.11.1,EXO.11.10
114,The Passover Instituted,EXO.12.1,EXO.12.28
115,The Tenth Plague: Death of the Firstborn,EXO.12.29,EXO.12.30
116,The Exodus,EXO.12.31,EXO.12.42
117,Passover Regulations,EXO.12.43,EXO.12.51
118,The Firstborn Consecrated,EXO.13.1,EXO.13.2
119,The Feast of Unleavened Bread,EXO.13.3,EXO.13.10
120,The Law of the Firstborn,EXO.13.11,EXO.13.16
121,The Wilderness Way,EXO.13.17,EXO.13.22
122,The Red Sea Crossing,EXO.14.1,EXO.14.31
123,The Song of Moses,EXO.15.1,EXO.15.19
124,The Song of Miriam,EXO.15.20,EXO.15.21
125,Bitter Waters Made Sweet,EXO.15.22,EXO.15.27
126,Bread from Heaven,EXO.16.1,EXO.16.36
127,Water from the Rock,EXO.17.1,EXO.17.7
128,Victory Over the Amalekites,EXO.17.8,EXO.17.16
129,Jethro’s Advice,EXO.18.1,EXO.18.27
130,Israel at Mount Sinai,EXO.19.1,EXO.19.25
131,The Ten Commandments,EXO.20.1,EXO.20.17
132,The People Afraid of God’s Presence,EXO.20.18,EXO.20.21
133,The Law of the Altar,EXO.20.22,EXO.20.26
134,The Law Concerning Servants,EXO.21.1,EXO.21.11
135,The Law Concerning Violence,EXO.21.12,EXO.21.27
136,Animal Control Laws,EXO.21.28,EXO.21.36
137,Responsibility for Property,EXO.22.1,EXO.22.15
138,Moral and Ceremonial Principles,EXO.22.16,EXO.22.31
139,Justice for All,EXO.23.1,EXO.23.9
140,The Law of Sabbaths,EXO.23.10,EXO.23.13
141,Three Annual Feasts,EXO.23.14,EXO.23.19
142,The Angel and the Promises,EXO.23.20,EXO.23.33
143,Israel Affirms the Covenant,EXO.24.1,EXO.24.8
144,On the Mountain with God,EXO.24.9,EXO.24.18
145,Offerings for the Sanctuary,EXO.25.1,EXO.25.9
146,The Ark of the Testimony,EXO.25.10,EXO.25.22
147,The Table for the Showbread,EXO.25.23,EXO.25.30
148,The Gold Lampstand,EXO.25.31,EXO.25.40
149,The Tabernacle,EXO.26.1,EXO.26.37
150,The Altar of Burnt Offering,EXO.27.1,EXO.27.8
151,The Court of the Tabernacle,EXO.27.9,EXO.27.19
152,The Care of the Lampstand,EXO.27.20,EXO.27.21
153,Garments for the Priesthood,EXO.28.1,EXO.28.4
154,The Ephod,EXO.28.5,EXO.28.14
155,The Breastplate,EXO.28.15,EXO.28.30
156,Other Priestly Garments,EXO.28.31,EXO.28.43
157,Aaron and His Sons Consecrated,EXO.29.1,EXO.29.37
158,The Daily Offerings,EXO.29.38,EXO.29.46
159,The Altar of Incense,EXO.30.1,EXO.30.10
160,The Ransom Money,EXO.30.11,EXO.30.16
161,The Bronze Laver,EXO.30.17,EXO.30.21
162,The Holy Anointing Oil,EXO.30.22,EXO.30.33
163,The Incense,EXO.30.34,EXO.30.38
164,Artisans for Building the Tabernacle,EXO.31.1,EXO.31.11
165,The Sabbath Law,EXO.31.12,EXO.31.18
166,The Gold Calf,EXO.32.1,EXO.32.35
167,The Command to Leave Sinai,EXO.33.1,EXO.33.6
168,Moses Meets with the Lord,EXO.33.7,EXO.33.11
169,The Promise of God’s Presence,EXO.33.12,EXO.33.23
170,Moses Makes New Tablets,EXO.34.1,EXO.34.9
171,The Covenant Renewed,EXO.34.10,EXO.34.28
172,The Shining Face of Moses,EXO.34.29,EXO.34.35
173,Sabbath Regulations,EXO.35.1,EXO.35.3
174,Offerings for the Tabernacle,EXO.35.4,EXO.35.9
175,Articles of the Tabernacle,EXO.35.10,EXO.35.19
176,The Tabernacle Offerings Presented,EXO.35.20,EXO.35.29
177,The Artisans Called by God,EXO.35.30,EXO.36.1
178,The People Give More Than Enough,EXO.36.2,EXO.36.7
179,Building the Tabernacle,EXO.36.8,EXO.36.38
180,Making the Ark of the Testimony,EXO.37.1,EXO.37.9
181,Making the Table for the Showbread,EXO.37.10,EXO.37.16
182,Making the Gold Lampstand,EXO.37.17,EXO.37.24
183,Making the Altar of Incense,EXO.37.25,EXO.37.28
184,Making the Anointing Oil and the Incense,EXO.37.29,EXO.37.29
185,Making the Altar of Burnt Offering,EXO.38.1,EXO.38.7
186,Making the Bronze Laver,EXO.38.8,EXO.38.8
187,Making the Court of the Tabernacle,EXO.38.9,EXO.38.20
188,Materials of the Tabernacle,EXO.38.21,EXO.38.31
189,Making the Garments of the Priesthood,EXO.39.1,EXO.39.1
190,Making the Ephod,EXO.39.2,EXO.39.7
191,Making the Breastplate,EXO.39.8,EXO.39.21
192,Making the Other Priestly Garments,EXO.39.22,EXO.39.31
193,The Work Completed,EXO.39.32,EXO.39.43
194,The Tabernacle Erected and Arranged,EXO.40.1,EXO.40.33
195,The Cloud and the Glory,EXO.40.34,EXO.40.38
196,The Burnt Offering,LEV.1.1,LEV.1.17
197,The Grain Offering,LEV.2.1,LEV.2.16
198,The Peace Offering,LEV.3.1,LEV.3.17
199,The Sin Offering,LEV.4.1,LEV.4.35
200,The Trespass Offering,LEV.5.1,LEV.5.13
201,Offerings with Restitution,LEV.5.14,LEV.6.7
202,The Law of the Burnt Offering,LEV.6.8,LEV.6.13
203,The Law of the Grain Offering,LEV.6.14,LEV.6.23
204,The Law of the Sin Offering,LEV.6.24,LEV.6.30
205,The Law of the Trespass Offering,LEV.7.1,LEV.7.10
206,The Law of Peace Offerings,LEV.7.11,LEV.7.21
207,Fat and Blood May Not Be Eaten,LEV.7.22,LEV.7.27
208,The Portion of Aaron and His Sons,LEV.7.28,LEV.7.38
209,Aaron and His Sons Consecrated,LEV.8.1,LEV.8.36
210,The Priestly Ministry Begins,LEV.9.1,LEV.9.24
211,The Profane Fire of Nadab and Abihu,LEV.10.1,LEV.10.7
212,Conduct Prescribed for Priests,LEV.10.8,LEV.10.20
213,Foods Permitted and Forbidden,LEV.11.1,LEV.11.23
214,Unclean Animals,LEV.11.24,LEV.11.47
215,The Ritual After Childbirth,LEV.12.1,LEV.12.8
216,The Law Concerning Leprosy,LEV.13.1,LEV.13.46
217,The Law Concerning Leprous Garments,LEV.13.47,LEV.13.59
218,The Ritual for Cleansing Healed Lepers,LEV.14.1,LEV.14.32
219,The Law Concerning Leprous Houses,LEV.14.33,LEV.14.57
220,The Law Concerning Bodily Discharges,LEV.15.1,LEV.15.33
221,The Day of Atonement,LEV.16.1,LEV.16.34
222,The Sanctity of Blood,LEV.17.1,LEV.17.16
223,Laws of Sexual Morality,LEV.18.1,LEV.18.30
224,Moral and Ceremonial Laws,LEV.19.1,LEV.19.37
225,Penalties for Breaking the Law,LEV.20.1,LEV.20.27
226,Regulations for Conduct of Priests,LEV.21.1,LEV.22.16
227,Offerings Accepted and Not Accepted,LEV.22.17,LEV.22.33
228,Feasts of the Lord,LEV.23.1,LEV.23.2
229,The Sabbath,LEV.23.3,LEV.23.3
230,The Passover and Unleavened Bread,LEV.23.4,LEV.23.8
231,The Feast of Firstfruits,LEV.23.9,LEV.23.14
232,The Feast of Weeks,LEV.23.15,LEV.23.22
233,The Feast of Trumpets,LEV.23.23,LEV.23.25
234,The Day of Atonement,LEV.23.26,LEV.23.32
235,The Feast of Tabernacles,LEV.23.33,LEV.23.44
236,Care of the Tabernacle Lamps,LEV.24.1,LEV.24.4
237,The Bread of the Tabernacle,LEV.24.5,LEV.24.9
238,The Penalty for Blasphemy,LEV.24.10,LEV.24.23
239,The Sabbath of the Seventh Year,LEV.25.1,LEV.25.7
240,The Year of Jubilee,LEV.25.8,LEV.25.17
241,The Year of Jubilee,LEV.25.18,LEV.25.22
242,Redemption of Property,LEV.25.23,LEV.25.34
243,Lending to the Poor,LEV.25.35,LEV.25.38
244,The Law Concerning Slavery,LEV.25.39,LEV.25.55
245,Promise of Blessing and Retribution,LEV.26.1,LEV.26.46
246,Redeeming Persons and Property Dedicated to God,LEV.27.1,LEV.27.34
247,The First Census of Israel,NUM.1.1,NUM.1.54
248,The Tribes and Leaders by Armies,NUM.2.1,NUM.2.34
249,The Sons of Aaron,NUM.3.1,NUM.3.4
250,The Levites Serve in the Tabernacle,NUM.3.5,NUM.3.13
251,Census of the Levites Commanded,NUM.3.14,NUM.3.39
252,Levites Dedicated Instead of the Firstborn,NUM.3.40,NUM.3.51
253,Duties of the Sons of Kohath,NUM.4.1,NUM.4.20
254,Duties of the Sons of Gershon,NUM.4.21,NUM.4.28
255,Duties of the Sons of Merari,NUM.4.29,NUM.4.33
256,Census of the Levites,NUM.4.34,NUM.4.49
257,Ceremonially Unclean Persons Isolated,NUM.5.1,NUM.5.4
258,Confession and Restitution,NUM.5.5,NUM.5.10
259,Concerning Unfaithful Wives,NUM.5.11,NUM.5.31
260,The Law of the Nazirite,NUM.6.1,NUM.6.21
261,The Priestly Blessing,NUM.6.22,NUM.6.27
262,Offerings of the Leaders,NUM.7.1,NUM.7.89
263,Arrangement of the Lamps,NUM.8.1,NUM.8.4
264,Cleansing and Dedication of the Levites,NUM.8.5,NUM.8.26
265,The Second Passover,NUM.9.1,NUM.9.14
266,The Cloud and the Fire,NUM.9.15,NUM.9.23
267,Two Silver Trumpets,NUM.10.1,NUM.10.10
268,Departure from Sinai,NUM.10.11,NUM.10.36
269,The People Complain,NUM.11.1,NUM.11.15
270,The Seventy Elders,NUM.11.16,NUM.11.30
271,The Lord Sends Quail,NUM.11.31,NUM.11.35
272,Dissension of Aaron and Miriam,NUM.12.1,NUM.12.16
273,Spies Sent into Canaan,NUM.13.1,NUM.13.33
274,Israel Refuses to Enter Canaan,NUM.14.1,NUM.14.10
275,Moses Intercedes for the People,NUM.14.11,NUM.14.25
276,Death Sentence on the Rebels,NUM.14.26,NUM.14.38
